suite,task_index,task_stem,view,status,num_detections,best_iou,max_confidence,raw_image,groundingdino_image
safelibero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,agentview,wrong_localization,1,0.0,0.6542688012123108,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_spatial/task_0/agentview_raw.png,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_spatial/task_0/agentview_groundingdino.png
safelibero_spatial,1,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,agentview,correct_with_extra_boxes,2,0.6336734118708077,0.548069179058075,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_spatial/task_1/agentview_raw.png,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_spatial/task_1/agentview_groundingdino.png
safelibero_spatial,2,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,agentview,wrong_localization,1,0.0,0.7078827619552612,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_spatial/task_2/agentview_raw.png,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_spatial/task_2/agentview_groundingdino.png
safelibero_spatial,3,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,agentview,wrong_localization,1,0.0,0.6378227472305298,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_spatial/task_3/agentview_raw.png,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_spatial/task_3/agentview_groundingdino.png
safelibero_goal,0,put_the_bowl_on_the_plate,agentview,correct_with_extra_boxes,2,0.9413536498936924,0.43520376086235046,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_goal/task_0/agentview_raw.png,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_goal/task_0/agentview_groundingdino.png
safelibero_goal,1,put_the_bowl_on_top_of_the_cabinet,agentview,correct,1,0.9413536498936924,0.40434157848358154,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_goal/task_1/agentview_raw.png,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_goal/task_1/agentview_groundingdino.png
safelibero_goal,2,put_the_bowl_on_the_stove,agentview,wrong_localization,1,0.0,0.5449531078338623,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_goal/task_2/agentview_raw.png,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_goal/task_2/agentview_groundingdino.png
safelibero_goal,3,open_the_top_drawer_and_put_the_bowl_inside,agentview,correct,1,0.9413536498936924,0.5039989948272705,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_goal/task_3/agentview_raw.png,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_goal/task_3/agentview_groundingdino.png
safelibero_object,0,pick_up_the_orange_juice_and_place_it_in_the_basket,agentview,wrong_localization,1,0.0,0.8055684566497803,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_object/task_0/agentview_raw.png,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_object/task_0/agentview_groundingdino.png
safelibero_object,1,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,agentview,wrong_localization,1,0.0,0.8226632475852966,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_object/task_1/agentview_raw.png,/home/lythk/safe-flow-matching/results/yellow_rectangular_book_all_suites/images/safelibero_object/task_1/agentview_groundingdino.png
